Date,Open,High,Low,Volume,Close
14-08-2015,57.48478991,58.39840625,57.34246874,171718000,58.23772049
17-08-2015,58.27445254,59.01361059,58.02653585,163538800,58.78865051
18-08-2015,58.45350051,58.91719672,58.26067759,138242800,58.48563766
19-08-2015,58.3019966,58.49481952,57.65006948,193146000,57.80157471
20-08-2015,57.37460149,57.49855807,56.24979424,274006400,56.71808243
21-08-2015,55.69886688,56.37375048,53.5043498,513102000,53.55485153
24-08-2015,48.55521715,54.95053887,47.23758683,648825200,52.34282684
25-08-2015,56.01106319,56.01106319,52.51728028,414406400,52.62746429
26-08-2015,54.16546855,55.45096175,53.22889903,387098400,55.3591423
27-08-2015,56.52526532,56.98895803,55.51064197,338464400,56.84204483
28-08-2015,56.49771535,57.02109384,56.20848098,212657600,57.0119133
31-08-2015,56.43344521,57.58120576,56.41967265,224917200,56.76859283
01-09-2015,55.57032761,56.36457591,54.28942649,307383600,54.45470428
02-09-2015,55.60705333,56.57575989,55.10203595,247555200,56.57575989
03-09-2015,56.64462812,56.77776875,55.51982428,212935600,55.6713295
04-09-2015,55.02859162,55.70806397,54.81740409,199985200,55.1663208
08-09-2015,56.3048992,56.67677252,55.64838,219374400,56.56199646
09-09-2015,57.22769418,57.34705875,55.39586592,340043200,55.57032776
10-09-2015,55.62541357,57.00731805,55.45554727,251571200,56.68135452
11-09-2015,56.32325675,57.43428802,56.30948418,199662000,57.43428802
14-09-2015,58.52236865,58.66468983,57.73270886,233453600,57.93930435
15-09-2015,58.22395016,58.49941198,57.53070183,173364800,58.38463593
16-09-2015,58.37086233,58.50400296,57.99898905,148694000,58.44432068
17-09-2015,58.09998738,58.48104117,57.20932422,256450400,57.30114365
18-09-2015,56.51608467,57.47561432,56.35999091,297141200,57.08537292
21-09-2015,57.18637358,57.96685282,57.18178506,200888000,57.89339447
22-09-2015,57.05324347,57.42052831,56.6584135,201384800,57.06242752
23-09-2015,57.16800779,57.66843318,57.01650607,143026800,57.4847908
24-09-2015,56.99354572,58.02653008,56.58953533,200878000,57.796978
25-09-2015,58.45808142,58.57285744,57.34704686,224607600,57.6638298
28-09-2015,57.26901636,57.59957197,56.62168121,208436000,56.62168121
29-09-2015,56.80072522,57.11291621,54.5189769,293461600,55.06990051
30-09-2015,55.5795087,56.20848271,54.91840104,265892000,55.63919449
01-10-2015,55.07448781,55.32699648,54.26646355,255716400,55.3086319
02-10-2015,54.5878439,55.96515646,54.3766564,232079200,55.67591858
05-10-2015,55.44637123,56.13043905,55.07449793,208258800,55.85956573
06-10-2015,55.79070659,56.30031263,55.39587661,192787200,56.10289764
07-10-2015,56.30030537,56.31407794,55.23059519,187062400,55.85956573
08-10-2015,55.58869081,55.58869081,54.67966299,247918400,55.27190781
09-10-2015,55.5014561,56.54821299,55.267312,211064400,56.47475815
12-10-2015,56.75480518,56.76398572,56.16256049,121868800,56.23601532
13-10-2015,55.87792204,56.62626055,55.81364774,132197200,56.32325363
14-10-2015,56.09370707,56.19929907,55.29945526,177849600,55.59787369
15-10-2015,55.92842544,56.46557648,55.72641849,150694000,56.35539246
16-10-2015,56.31866372,56.4196672,55.7447835,156930400,55.97892761
19-10-2015,55.86874449,56.30489206,55.55196149,119036800,56.29571152
20-10-2015,56.11665371,57.41591927,55.87792109,195871200,57.23227692
21-10-2015,57.3378642,58.06324948,57.20013158,167180800,57.22768021
22-10-2015,57.48938019,58.02653122,57.38378469,166616400,58.02653122
23-10-2015,58.57745765,59.7389942,58.40759134,237467600,59.67012787
26-10-2015,59.21101868,59.23397179,57.76024789,265335200,57.92552567
27-10-2015,57.98062329,58.50400178,57.33328471,279537600,57.59038544
28-10-2015,58.68305636,59.77113462,58.28363443,342205600,59.75735855
29-10-2015,59.49566537,60.40928522,59.29825043,204909200,60.33582687
30-10-2015,60.5470252,60.65262073,59.8400042,197461200,59.86296082
02-11-2015,60.45978849,60.71688572,59.91345338,128813200,60.63424683
03-11-2015,60.45518749,61.69476723,60.4138663,182076000,61.27239227
04-11-2015,61.52949815,61.84628116,60.83625334,179544400,61.01071167
05-11-2015,61.18131243,61.56861261,60.41132729,158210800,60.7525177
06-11-2015,60.84010962,61.16285676,60.61418663,132169200,60.81705475
09-11-2015,60.77094989,61.16285814,60.3513786,135485600,60.59113312
10-11-2015,58.89901827,59.43846868,58.51171812,236511600,58.839077
11-11-2015,58.65465382,59.13877464,58.11981157,180872000,58.53477478
12-11-2015,58.60393167,58.86212942,58.32267905,130102400,58.35495377
13-11-2015,58.11519037,58.2857873,56.76425696,183249600,56.79653168
16-11-2015,56.35390934,57.67256813,56.17870423,152426800,57.64490509
17-11-2015,57.98609302,58.04603429,57.24838271,110467600,57.41897964
18-11-2015,58.37339509,59.17104319,58.25351607,186698800,59.07883072
19-11-2015,59.24020452,60.21306125,58.83446471,173183200,59.76582336
20-11-2015,59.95947496,60.29144551,59.79810136,137148400,60.00558472
23-11-2015,59.99174031,60.20383531,59.10187632,129930000,59.29091644
24-11-2015,59.09726859,60.02862714,59.00044444,171212800,59.81192398
25-11-2015,59.96408695,59.9733103,59.36930695,85553200,59.42002487
27-11-2015,59.5398993,59.59522889,59.22176029,52185600,59.31858444
30-11-2015,59.40157218,60.05629334,59.29091652,156721200,59.54450607
01-12-2015,59.75199635,59.77965939,58.88057539,139409600,59.10188675
02-12-2015,59.10188401,59.45690943,58.52093907,133546400,58.61315155
03-12-2015,58.73764662,58.84830231,57.66335394,166278000,58.11520004
04-12-2015,58.15668605,59.98252026,58.07369343,231108000,59.88108444
07-12-2015,59.85803663,60.26377642,59.31858278,128336800,59.53528595
08-12-2015,59.18487897,59.6828348,58.88057497,137238000,59.51224136
09-12-2015,59.24021193,59.26326681,58.05987521,185445600,58.30885315
10-12-2015,58.50249358,58.91745674,58.25812736,116850800,58.56243134
11-12-2015,58.11058454,58.20279701,57.03168033,187544800,57.18383408
14-12-2015,56.72276177,56.95329645,55.62080626,257274800,56.86108398
15-12-2015,56.61210662,57.00862657,55.87900449,213292400,55.94355392
16-12-2015,56.21098109,56.63516412,55.16435504,224954000,56.33546829
17-12-2015,56.64899286,56.75504037,55.24734497,179091200,55.24734497
18-12-2015,55.21507792,55.49632706,53.78575974,385813200,53.88719559
21-12-2015,54.46351739,54.50501546,53.67508926,190362400,54.48657227
22-12-2015,54.5188526,54.66639466,54.08083457,131157600,54.44047165
23-12-2015,54.4589093,55.18739974,54.42663459,130629600,55.07674408
24-12-2015,55.25656405,55.25656405,54.77243978,54281600,54.80932617
28-12-2015,54.6064447,54.65255444,53.95633881,106816800,54.25142288
29-12-2015,54.31597772,55.45481958,54.26987148,123724800,55.1366806
30-12-2015,55.0629125,55.11823857,54.41741468,100855200,54.48196411
31-12-2015,54.33903309,54.34825293,53.32929007,163649200,53.53216171
04-01-2016,52.31033632,53.58288898,52.02908367,270597600,53.57366562
05-01-2016,53.75808908,53.80419532,52.21811897,223164000,52.35643768
06-01-2016,51.36513806,52.19967608,51.04700257,273829600,51.4296875
07-01-2016,50.49832477,51.16687394,49.46091871,324377600,49.47013855
08-01-2016,50.43838622,50.69658393,49.61307165,283192000,49.70528412
11-01-2016,50.63204037,50.67353493,49.88049497,198957600,50.4291687
12-01-2016,51.36053378,51.42508322,50.57210194,196616800,51.08850098
13-01-2016,51.25447877,51.65561038,49.86205083,249758400,49.90354538
14-01-2016,50.16636057,51.32825749,49.14278588,252680400,50.88562775
15-01-2016,49.3548814,50.05109728,48.96758474,319335600,49.78367615
19-01-2016,50.37384229,50.48449797,49.03212862,212350800,49.56697083
20-01-2016,48.84769519,50.27240134,48.07309853,289337600,49.62690353
21-01-2016,49.75140363,50.12948047,48.77393856,208646000,49.40099335
22-01-2016,50.47527738,51.78010473,50.35540186,263202000,51.76166153
25-01-2016,51.80776904,51.81238072,50.74269973,207178000,50.84874725
26-01-2016,51.0746624,51.5126769,50.21707309,300308000,51.10232544
27-01-2016,49.28110018,49.5531294,48.03621084,533478800,48.07309723
28-01-2016,48.24370413,48.58028286,47.5982062,222715200,48.38202286
29-01-2016,48.7047646,49.88048935,48.50189296,257666000,49.88048935
01-02-2016,49.47936544,49.59002111,48.98602132,163774000,49.46092224
02-02-2016,48.99523521,49.28109947,48.46961645,149428800,48.56183243
03-02-2016,48.80159116,49.64995713,48.37740817,183857200,49.42403412
04-02-2016,49.43794123,50.11939155,49.12734933,185886800,49.78098297
05-02-2016,49.74389281,49.929322,48.43198894,185672400,48.58496475
08-02-2016,48.17238718,49.36376509,48.13066747,216085600,49.04390335
09-02-2016,48.71013895,49.47503231,48.543253,177324800,49.03463745
10-02-2016,49.4657562,49.66509199,48.62205662,169374400,48.70086288
11-02-2016,48.47834587,48.90946725,47.92205827,200298800,48.43662262
12-02-2016,48.66377655,48.80748251,48.11676234,161405600,48.57106018
16-02-2016,49.0485395,49.89687575,48.85847712,196231600,49.79952621
17-02-2016,49.81342679,50.52732686,49.57237132,179452800,50.48560715
18-02-2016,50.81938622,50.8425662,49.54456513,156084000,49.62337494
19-02-2016,49.50284573,49.85516092,49.41013288,141496800,49.52138901
22-02-2016,49.64654639,49.92005527,49.46575388,137123200,49.91078186
23-02-2016,49.68827537,49.73463179,48.83066915,127770400,48.89556885
24-02-2016,48.56642933,49.67899754,48.26047059,145022800,49.54919815
